benchmark,seed,state_id,pool_id,scorer,N,real_utility,normalized_real_utility,success
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,1,-0.29447243178806626,0.5251741772562037,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,2,-0.2951372917275,0.5089488162095859,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,4,-0.2959674878407533,0.4886885615633112,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,8,-0.2968023817368471,0.4683136613831671,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,16,-0.2960750538077184,0.48606350243909247,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,random,32,-0.2939867407425326,0.537027068524706,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,1,-0.2944724317880662,0.5251741772562036,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,2,-0.2929094901353544,0.5633164852912541,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,4,-0.2932526995344728,0.5549407416421,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,8,-0.2949054506579454,0.5146067071966113,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,16,-0.29704738640376743,0.4623345236082632,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_task_text,32,-0.2999569570104813,0.39132884138176693,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,1,-0.29447243178806626,0.5251741772562037,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,2,-0.2921083091564745,0.5828686494013087,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,4,-0.2910497563943867,0.6087017606072518,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,8,-0.2899396000839943,0.6357942140488595,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,16,-0.28797568364578224,0.6837219825688226,0.0
FetchPickAndPlace-v4,64001,0,FetchPickAndPlace-v4:eval:64001:0,clip_mismatch_text,32,-0.28679349485779215,0.7125723294956343,0.0
