family,pool_count,decided_rate,decision_accuracy,false_allow_rate,false_block_rate,mean_audit_policy_utility,mean_raw_high_n_utility,mean_audit_minus_raw_high_n
fetch_state,60,1.0,1.0,0.0,0.0,0.942285043394534,0.942285043394534,0.0
fetch_visual,45,0.9777777777777777,0.9772727272727273,0.022222222222222223,0.0,0.9541118314956072,0.9570414508634244,-0.002929619367817112
gym_reacher,25,0.2,0.4,0.0,0.0,0.16728092312948575,0.1551854799142193,0.01209544321526647
libero,15,1.0,1.0,0.0,0.0,0.817878643158778,0.817878643158778,0.0
maniskill,30,0.8666666666666667,1.0,0.0,0.0,0.5786796281204125,0.5877647652444107,-0.009085137123998225
metaworld,45,0.24444444444444444,0.9090909090909091,0.0,0.0,0.4653911873282993,0.48322248287410713,-0.01783129554580777
robocasa_family32,64,0.984375,1.0,0.0,0.0,0.8455677628545029,0.8461524671966978,-0.0005847043421949574
robocasa_residual35,35,1.0,1.0,0.0,0.0,0.8276181960239645,0.8276181960239645,0.0
robocasa_stratified97,194,0.9742268041237113,1.0,0.0,0.0,0.8627896628115251,0.8631354413079834,-0.0003457784964584049
robosuite,30,1.0,1.0,0.0,0.0,0.9444977245535141,0.9444977245535141,0.0
