m,score_pattern,success_mask,p,auc,score_utility_corr,classification,high_n_gain,max_curve,min_curve,f1,f2,f4,f8,f16,f32,f64
4,strict,1,0.25,0.0,-0.7745966692414834,harms,-0.25,0.25,2.938735877055719e-39,0.25,0.0625,0.00390625,1.52587890625e-05,2.3283064365386963e-10,5.421010862427522e-20,2.938735877055719e-39
4,strict,2,0.25,0.3333333333333333,-0.2581988897471611,harms,-0.25,0.25,5.421010862427522e-20,0.25,0.1875,0.05859375,0.0038909912109375,1.5258556231856346e-05,2.3283064359965952e-10,5.421010862427522e-20
4,strict,3,0.5,0.0,-0.8944271909999159,harms,-0.5,0.5,5.421010862427522e-20,0.5,0.25,0.0625,0.00390625,1.52587890625e-05,2.3283064365386963e-10,5.421010862427522e-20
4,strict,4,0.25,0.6666666666666666,0.2581988897471611,nonmonotonic,-0.24999998990931016,0.3125,1.0090689833105137e-08,0.25,0.3125,0.25390625,0.0962066650390625,0.010007336968556046,0.00010045219288998963,1.0090689833105137e-08
4,strict,5,0.5,0.25,-0.4472135954999579,harms,-0.49999998990931016,0.5,1.0090689833105137e-08,0.5,0.375,0.2578125,0.096221923828125,0.01000733720138669,0.00010045219288998969,1.0090689833105137e-08
4,strict,6,0.5,0.5,0.0,harms,-0.49999998990931016,0.5,1.0090689833159348e-08,0.5,0.5,0.3125,0.10009765625,0.010022595524787903,0.00010045242572063323,1.0090689833159348e-08
4,strict,7,0.75,0.0,-0.7745966692414834,harms,-0.7499999899093102,0.75,1.0090689833159348e-08,0.75,0.5625,0.31640625,0.1001129150390625,0.010022595757618546,0.00010045242572063329,1.0090689833159348e-08
4,strict,8,0.25,1.0,0.7745966692414834,helps,0.7499999899093102,0.9999999899093102,0.25,0.25,0.4375,0.68359375,0.8998870849609375,0.9899774042423815,0.9998995475742793,0.9999999899093102
4,strict,9,0.5,0.5,0.0,helps,0.49999998990931016,0.9999999899093102,0.5,0.5,0.5,0.6875,0.89990234375,0.9899774044752121,0.9998995475742793,0.9999999899093102
4,strict,10,0.5,0.75,0.4472135954999579,helps,0.49999998990931016,0.9999999899093102,0.5,0.5,0.625,0.7421875,0.903778076171875,0.9899926627986133,0.99989954780711,0.9999999899093102
4,strict,11,0.75,0.3333333333333333,-0.2581988897471611,nonmonotonic,0.24999998990931016,0.9999999899093102,0.6875,0.75,0.6875,0.74609375,0.9037933349609375,0.989992663031444,0.99989954780711,0.9999999899093102
4,strict,12,0.5,1.0,0.8944271909999159,helps,0.5,1.0,0.5,0.5,0.75,0.9375,0.99609375,0.9999847412109375,0.9999999997671694,1.0
