case,N,expected,actual,abs_error,pass
two_point_aligned,1,0.5,0.5,0.0,True
two_point_aligned,2,0.75,0.75,0.0,True
two_point_aligned,4,0.9375,0.9375,0.0,True
two_point_aligned,8,0.99609375,0.99609375,0.0,True
two_point_aligned,16,0.9999847412109375,0.9999847412109375,0.0,True
two_point_aligned,32,0.9999999997671694,0.9999999997671694,0.0,True
two_point_aligned,64,1.0,1.0,0.0,True
two_point_anti_aligned,1,0.5,0.5,0.0,True
two_point_anti_aligned,2,0.25,0.25,0.0,True
two_point_anti_aligned,4,0.0625,0.0625,0.0,True
two_point_anti_aligned,8,0.00390625,0.00390625,0.0,True
two_point_anti_aligned,16,1.52587890625e-05,1.52587890625e-05,0.0,True
two_point_anti_aligned,32,2.3283064365386963e-10,2.3283064365386963e-10,0.0,True
two_point_anti_aligned,64,5.421010862427522e-20,5.421010862427522e-20,0.0,True
all_equal_scores,1,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,2,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,4,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,8,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,16,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,32,1.6666666666666667,1.6666666666666667,0.0,True
all_equal_scores,64,1.6666666666666667,1.6666666666666667,0.0,True
top_tie_group,1,1.3333333333333335,1.3333333333333335,0.0,True
top_tie_group,2,1.7777777777777777,1.7777777777777777,0.0,True
top_tie_group,4,1.9753086419753088,1.9753086419753088,0.0,True
top_tie_group,8,1.9996951684194482,1.9996951684194482,0.0,True
top_tie_group,16,1.9999999535388537,1.9999999535388537,0.0,True
top_tie_group,32,1.999999999999999,1.999999999999999,0.0,True
top_tie_group,64,2.0,2.0,0.0,True
negative_top_tail,1,-0.5,-0.5,0.0,True
negative_top_tail,2,-1.25,-1.25,0.0,True
negative_top_tail,4,-1.8125,-1.8125,0.0,True
negative_top_tail,8,-1.98828125,-1.98828125,0.0,True
negative_top_tail,16,-1.9999542236328125,-1.9999542236328125,0.0,True
negative_top_tail,32,-1.999999999301508,-1.999999999301508,0.0,True
negative_top_tail,64,-2.0,-2.0,0.0,True
all_success_binary,1,1.0,1.0,0.0,True
all_success_binary,2,1.0,1.0,0.0,True
all_success_binary,4,1.0,1.0,0.0,True
all_success_binary,8,1.0,1.0,0.0,True
all_success_binary,16,1.0,1.0,0.0,True
all_success_binary,32,1.0,1.0,0.0,True
all_success_binary,64,1.0,1.0,0.0,True
no_success_binary,1,0.0,0.0,0.0,True
no_success_binary,2,0.0,0.0,0.0,True
no_success_binary,4,0.0,0.0,0.0,True
no_success_binary,8,0.0,0.0,0.0,True
no_success_binary,16,0.0,0.0,0.0,True
no_success_binary,32,0.0,0.0,0.0,True
no_success_binary,64,0.0,0.0,0.0,True
