suite,label,promoted_scorer,tasks,rollout_pools,mean_learned_wam_minus_random_N8,ci_lower_learned_wam_minus_random_N8,ci_upper_learned_wam_minus_random_N8,worst_task,worst_task_mean_learned_wam_minus_random_N8
__all__,All configured,learned_wam,40,80,0.370832752749004,0.3184339856519274,0.42323151984608065,libero_10/0,-0.018678427524293273
libero_spatial,Spatial,learned_wam,10,20,0.31682606260440666,0.2025155053574586,0.4311366198513547,libero_spatial/4,0.05959588194169335
libero_object,Object,learned_wam,10,20,0.33988815759851365,0.24896536929793533,0.43081094589909197,libero_object/3,0.1897964324089591
libero_goal,Goal,learned_wam,10,20,0.4839814956940828,0.3970755833016084,0.5708874080865571,libero_goal/9,0.1987293813208013
libero_10,LIBERO-10,learned_wam,10,20,0.3426352950990134,0.22754827940694344,0.4577223107910834,libero_10/0,-0.018678427524293273
