seed,state_id,mismatch,horizon,pool_size,scorer,N,normalized_real_utility,delta_value,delta_per_rollout,rollout_steps_proxy,wall_clock_seconds_proxy
911,0,mild,4,32,predicted_utility,1,0.5069000905385642,0.0,0.0,4,0.0012227156249764448
911,0,mild,4,32,predicted_utility,2,0.6638540851734466,0.15695399463488235,0.15695399463488235,8,0.0024454312499528896
911,0,mild,4,32,predicted_utility,4,0.7645268777587682,0.10067279258532158,0.05033639629266079,16,0.004890862499905779
911,0,mild,4,32,predicted_utility,8,0.8032952309669633,0.03876835320819516,0.00969208830204879,32,0.009781724999811559
911,0,mild,4,32,predicted_utility,16,0.8456932655821598,0.042398034615196534,0.005299754326899567,64,0.019563449999623117
911,0,mild,4,32,predicted_utility,32,0.8975449590050646,0.05185169342290474,0.0032407308389315465,128,0.039126899999246234
911,0,mild,4,32,predicted_utility,64,0.913993638903415,0.016448679898350416,0.0005140212468234505,256,0.07825379999849247
911,0,mild,4,32,predicted_utility,128,0.9147211648284471,0.0007275259250321131,1.1367592578626767e-05,512,0.15650759999698494
911,0,mild,4,32,uncertainty_penalized,1,0.5069000905385642,0.0,0.0,4,0.0012227156249764448
911,0,mild,4,32,uncertainty_penalized,2,0.6555258769529826,0.14862578641441837,0.14862578641441837,8,0.0024454312499528896
911,0,mild,4,32,uncertainty_penalized,4,0.75452173126094,0.09899585430795743,0.049497927153978716,16,0.004890862499905779
911,0,mild,4,32,uncertainty_penalized,8,0.7948209483198356,0.04029921705889561,0.010074804264723902,32,0.009781724999811559
911,0,mild,4,32,uncertainty_penalized,16,0.8402307315123818,0.04540978319254618,0.005676222899068273,64,0.019563449999623117
911,0,mild,4,32,uncertainty_penalized,32,0.8960179410396886,0.05578720952730676,0.0034867005954566724,128,0.039126899999246234
911,0,mild,4,32,uncertainty_penalized,64,0.9126184240327435,0.016600482993054944,0.000518765093532967,256,0.07825379999849247
