episode,t,phase,p,exact_success_N16,mc_success_N16,abs_error_N16
0,0,pre_shift,0.075,0.05803613809905685,0.0588,0.000763861900943151
0,1,pre_shift,0.10625,0.03727979361502739,0.0366,0.0006797936150273881
0,2,pre_shift,0.10625,0.05676270276034712,0.0566,0.00016270276034711928
0,3,pre_shift,0.11875,0.0331995587859377,0.035,0.0018004412140623025
0,4,pre_shift,0.125,0.017552877919677447,0.0176,4.71220803225543e-05
0,5,pre_shift,0.13125,0.024876906403559912,0.0234,0.0014769064035599112
0,6,pre_shift,0.19375,0.011007891769772,0.0092,0.0018078917697720003
0,7,pre_shift,0.15,0.0017720147766664954,0.0022,0.00042798522333350477
0,8,pre_shift,0.25,0.0190788102127365,0.0174,0.0016788102127365014
0,9,post_shift,0.275,0.0020573133477520132,0.0018,0.0002573133477520133
0,10,post_shift,0.2125,0.001997339633506804,0.0016,0.0003973396335068041
0,11,post_shift,0.25625,0.018309371834831122,0.0218,0.0034906281651688777
0,12,post_shift,0.24375,0.006056949186249192,0.0064,0.0003430508137508082
0,13,post_shift,0.2125,0.020834315778073143,0.0198,0.0010343157780731416
0,14,post_shift,0.2125,0.010070944247338237,0.011,0.0009290557526617626
0,15,post_shift,0.23125,0.03423198342773674,0.0362,0.0019680165722632606
0,16,post_shift,0.25,0.02454452616843567,0.026,0.00145547383156433
0,17,post_shift,0.2375,0.007814541213388598,0.0072,0.0006145412133885982
1,0,pre_shift,0.05,0.2410978871899592,0.2506,0.009502112810040791
1,1,pre_shift,0.11875,0.34722845139586556,0.3452,0.0020284513958655492
1,2,pre_shift,0.0375,0.2676008485968497,0.2776,0.00999915140315033
1,3,pre_shift,0.06875,0.3657914077800425,0.3674,0.0016085922199575164
1,4,pre_shift,0.09375,0.1945414169393459,0.1936,0.0009414169393459071
1,5,pre_shift,0.08125,0.4256326328838189,0.416,0.009632632883818937
1,6,pre_shift,0.04375,0.35563694877983987,0.3442,0.011436948779839862
1,7,pre_shift,0.11875,0.6074745215427724,0.607,0.0004745215427723881
1,8,pre_shift,0.125,0.74839062879429,0.7508,0.0024093712057100536
1,9,post_shift,0.15,0.15839821642106522,0.159,0.0006017835789347836
1,10,post_shift,0.19375,0.19786619613821743,0.1862,0.011666196138217427
1,11,post_shift,0.09375,0.11164931765102148,0.1134,0.0017506823489785162
1,12,post_shift,0.15,0.35940201628839574,0.3526,0.006802016288395718
1,13,post_shift,0.2,0.4917013790694391,0.4818,0.009901379069439109
1,14,post_shift,0.16875,0.3394364450111531,0.3366,0.002836445011153099
1,15,post_shift,0.14375,0.10036917233867398,0.1032,0.002830827661326016
1,16,post_shift,0.1625,0.2510651812620118,0.2584,0.007334818737988191
1,17,post_shift,0.14375,0.14471168375736945,0.1462,0.001488316242630544
2,0,pre_shift,0.15,0.0455984101247337,0.0468,0.0012015898752662998
2,1,pre_shift,0.125,0.032223229431354236,0.031,0.0012232294313542363
2,2,pre_shift,0.1125,0.0054429039256641484,0.0064,0.0009570960743358519
2,3,pre_shift,0.18125,0.00846546521896312,0.008,0.0004654652189631202
2,4,pre_shift,0.13125,0.012683593977953492,0.0124,0.0002835939779534929
2,5,pre_shift,0.16875,0.0020649564621403266,0.0024,0.0003350435378596732
2,6,pre_shift,0.1875,0.004525407672471035,0.0038,0.000725407672471035
2,7,pre_shift,0.23125,0.0022785052384443234,0.0022,7.85052384443233e-05
2,8,pre_shift,0.4,6.47007055158677e-07,0.0,6.47007055158677e-07
2,9,post_shift,0.075,3.456266879491326e-15,0.0,3.456266879491326e-15
2,10,post_shift,0.0125,4.416486605256716e-20,0.0,4.416486605256716e-20
2,11,post_shift,0.0,0.0,0.0,0.0
2,12,post_shift,0.01875,8.520167563361525e-21,0.0,8.520167563361525e-21
2,13,post_shift,0.1,1.0620629078162277e-13,0.0,1.0620629078162277e-13
2,14,post_shift,0.175,1.647358032146164e-11,0.0,1.647358032146164e-11
2,15,post_shift,0.25,1.7727038374577613e-09,0.0,1.7727038374577613e-09
2,16,post_shift,0.23125,4.961420031411781e-10,0.0,4.961420031411781e-10
2,17,post_shift,0.2625,1.1677287736059046e-09,0.0,1.1677287736059046e-09
3,0,pre_shift,0.04375,0.13299697107071232,0.1196,0.013396971070712319
3,1,pre_shift,0.09375,0.09091089223301956,0.091,8.910776698044243e-05
3,2,pre_shift,0.04375,0.14269201687785282,0.1472,0.0045079831221471744
3,3,pre_shift,0.0625,0.12009079878375782,0.1274,0.007309201216242192
3,4,pre_shift,0.075,0.10631493228423146,0.1034,0.002914932284231453
3,5,pre_shift,0.13125,0.24885884064210304,0.2334,0.015458840642103039
3,6,pre_shift,0.10625,0.03658850290527594,0.0338,0.0027885029052759427
3,7,pre_shift,0.125,0.03155826064740441,0.0344,0.0028417393525955875
3,8,pre_shift,0.1375,0.16861941002922576,0.1682,0.00041941002922576964
3,9,post_shift,0.13125,0.047648594620922816,0.0484,0.000751405379077183
3,10,post_shift,0.15625,0.1316428919565373,0.1346,0.0029571080434626917
3,11,post_shift,0.13125,0.12305865915419312,0.1158,0.007258659154193117
3,12,post_shift,0.13125,0.11284004205782498,0.1104,0.0024400420578249843
3,13,post_shift,0.18125,0.2529955093238757,0.2638,0.010804490676124268
3,14,post_shift,0.18125,0.053132563606614724,0.053,0.00013256360661472594
3,15,post_shift,0.1,0.09618151952254583,0.0994,0.003218480477454169
3,16,post_shift,0.11875,0.07246622744619848,0.0756,0.0031337725538015254
3,17,post_shift,0.1875,0.33239621459759655,0.3368,0.004403785402403437
4,0,pre_shift,0.1125,0.17598917383170762,0.1824,0.006410826168292388
4,1,pre_shift,0.06875,0.2754614120070209,0.2674,0.008061412007020874
4,2,pre_shift,0.08125,0.28261583681539915,0.2774,0.005215836815399166
4,3,pre_shift,0.05625,0.27796791443648317,0.2834,0.00543208556351682
4,4,pre_shift,0.06875,0.36731939040865286,0.3574,0.009919390408652862
4,5,pre_shift,0.1,0.5948235935772956,0.5888,0.0060235935772956495
4,6,pre_shift,0.075,0.635546413406171,0.6338,0.001746413406170988
4,7,pre_shift,0.0375,0.383163804508873,0.384,0.000836195491127012
4,8,pre_shift,0.14375,0.6648337918794406,0.6744,0.009566208120559416
4,9,post_shift,0.19375,0.3623705755038972,0.375,0.012629424496102826
4,10,post_shift,0.24375,0.4196801557070214,0.4128,0.006880155707021385
4,11,post_shift,0.2125,0.7462173256338696,0.7508,0.004582674366130468
4,12,post_shift,0.16875,0.7627069030309203,0.7718,0.009093096969079784
4,13,post_shift,0.15,0.6568252118204085,0.659,0.0021747881795914914
4,14,post_shift,0.125,0.6086816443411969,0.5978,0.010881644341196872
4,15,post_shift,0.18125,0.6250925662298279,0.6296,0.004507433770172153
4,16,post_shift,0.20625,0.756548456530747,0.7534,0.0031484565307470236
4,17,post_shift,0.19375,0.42805551551479376,0.4312,0.003144484485206267
5,0,pre_shift,0.04375,0.028122046049808228,0.0274,0.0007220460498082275
5,1,pre_shift,0.08125,0.07149453319526433,0.0726,0.0011054668047356664
5,2,pre_shift,0.13125,0.07278163580568801,0.0684,0.004381635805688011
5,3,pre_shift,0.06875,0.06680278087256684,0.0676,0.0007972191274331492
5,4,pre_shift,0.075,0.03853258091760259,0.0394,0.0008674190823974096
5,5,pre_shift,0.15,0.057363194397041344,0.0566,0.000763194397041346
5,6,pre_shift,0.0875,0.027497416126334905,0.0252,0.0022974161263349044
5,7,pre_shift,0.14375,0.028603529277749593,0.0314,0.002796470722250404
5,8,pre_shift,0.23125,0.03707210077034045,0.035,0.0020721007703404445
5,9,post_shift,0.45,0.004788894586962263,0.0024,0.002388894586962263
5,10,post_shift,0.45,0.0014177694353538666,0.0018,0.00038223056464613335
5,11,post_shift,0.4125,0.008349543032361854,0.0088,0.0004504569676381468
5,12,post_shift,0.48125,0.006350542803959393,0.0058,0.0005505428039593932
5,13,post_shift,0.44375,0.027434091594205814,0.023,0.004434091594205814
5,14,post_shift,0.35625,0.013257141092584836,0.0114,0.0018571410925848353
5,15,post_shift,0.34375,0.005138758810837606,0.005,0.0001387588108376055
5,16,post_shift,0.3875,0.007683132872684304,0.0068,0.0008831328726843042
5,17,post_shift,0.3125,0.011193153149510509,0.0132,0.002006846850489491
6,0,pre_shift,0.0375,0.08390898993898853,0.0818,0.0021089899389885314
6,1,pre_shift,0.0875,0.03291509812270006,0.0292,0.003715098122700062
6,2,pre_shift,0.10625,0.17951325794365783,0.1852,0.0056867420563421756
6,3,pre_shift,0.075,0.07841437294332543,0.0764,0.002014372943325432
6,4,pre_shift,0.1,0.023014752424764414,0.021,0.0020147524247644127
6,5,pre_shift,0.08125,0.031142338635264007,0.0342,0.0030576613647359946
6,6,pre_shift,0.1125,0.029564400256793515,0.0296,3.559974320648668e-05
6,7,pre_shift,0.14375,0.03624286923579704,0.0382,0.0019571307642029592
6,8,pre_shift,0.2125,0.03213045164014572,0.028,0.004130451640145718
6,9,post_shift,0.3,0.014708328062835981,0.013,0.0017083280628359815
6,10,post_shift,0.19375,0.005288389785712791,0.0044,0.0008883897857127907
6,11,post_shift,0.2375,0.01466754218754411,0.0148,0.0001324578124558915
6,12,post_shift,0.2875,0.032510900501500184,0.0342,0.0016890994984998173
6,13,post_shift,0.21875,0.01429894142173947,0.0156,0.0013010585782605288
6,14,post_shift,0.225,0.015659061638849024,0.0156,5.9061638849024906e-05
6,15,post_shift,0.25,0.0283847084426277,0.0276,0.0007847084426277004
6,16,post_shift,0.18125,0.10362971147075369,0.1058,0.0021702885292463198
6,17,post_shift,0.13125,0.030729551398639515,0.0296,0.0011295513986395132
7,0,pre_shift,0.06875,0.09525724035558168,0.0914,0.003857240355581687
7,1,pre_shift,0.06875,0.07557283285360991,0.0704,0.005172832853609907
7,2,pre_shift,0.04375,0.13606965826786835,0.1374,0.0013303417321316457
7,3,pre_shift,0.0625,0.08127189544647082,0.082,0.000728104553529188
7,4,pre_shift,0.1,0.09555272497893141,0.094,0.0015527249789314135
7,5,pre_shift,0.125,0.06087843372138512,0.0652,0.004321566278614873
7,6,pre_shift,0.10625,0.11628418792815573,0.1132,0.003084187928155735
7,7,pre_shift,0.1625,0.08788802975799549,0.0904,0.002511970242004502
7,8,pre_shift,0.15,0.09719949992739722,0.0968,0.00039949992739722606
7,9,post_shift,0.35,0.02251285442136023,0.0224,0.00011285442136023047
7,10,post_shift,0.3,0.004088852244387006,0.0048,0.0007111477556129937
7,11,post_shift,0.25,0.004978974381631443,0.0056,0.0006210256183685568
7,12,post_shift,0.30625,0.003645199655013163,0.0034,0.00024519965501316326
7,13,post_shift,0.3,0.0010148476856030374,0.0006,0.00041484768560303743
7,14,post_shift,0.29375,0.005794289338908144,0.0062,0.00040571066109185584
7,15,post_shift,0.29375,0.0105016688707313,0.0104,0.0001016688707313005
7,16,post_shift,0.31875,0.014549277883883383,0.0122,0.0023492778838833817
7,17,post_shift,0.2375,0.013387907612203155,0.0106,0.0027879076122031554
8,0,pre_shift,0.08125,0.09107841093658187,0.0878,0.003278410936581863
8,1,pre_shift,0.06875,0.10672225134696345,0.1166,0.009877748653036547
8,2,pre_shift,0.04375,0.08689997604653851,0.0848,0.0020999760465385126
8,3,pre_shift,0.04375,0.08136311738669384,0.0784,0.002963117386693845
8,4,pre_shift,0.0875,0.17403677448216076,0.1694,0.004636774482160766
8,5,pre_shift,0.0625,0.10251516672624642,0.1008,0.0017151667262464143
