mismatch,horizon,pool_size,scorer,N,normalized_real_utility,delta_value,delta_per_rollout,rollout_steps_proxy,wall_clock_seconds_proxy
mild,4,32,oracle_real_utility,1,0.5279373938825358,0.0,0.0,4.0,0.0005429907031384573
mild,4,32,oracle_real_utility,2,0.6910941210624133,0.1631567271798776,0.1631567271798776,8.0,0.0010859814062769146
mild,4,32,oracle_real_utility,4,0.8267585733185877,0.13566445225617438,0.06783222612808719,16.0,0.0021719628125538293
mild,4,32,oracle_real_utility,8,0.9162540877807508,0.08949551446216301,0.022373878615540754,32.0,0.0043439256251076586
mild,4,32,oracle_real_utility,16,0.9611260384181529,0.04487195063740208,0.00560899382967526,64.0,0.008687851250215317
mild,4,32,oracle_real_utility,32,0.9828187459107441,0.021692707492591386,0.0013557942182869616,128.0,0.017375702500430634
mild,4,32,oracle_real_utility,64,0.9946754668309478,0.011856720920203567,0.0003705225287563615,256.0,0.03475140500086127
mild,4,32,oracle_real_utility,128,0.9993417320814505,0.004666265250502707,7.29103945391048e-05,512.0,0.06950281000172254
mild,4,32,predicted_utility,1,0.5279373938825358,0.0,0.0,4.0,0.0005429907031384573
mild,4,32,predicted_utility,2,0.6334496659918729,0.10551227210933714,0.10551227210933714,8.0,0.0010859814062769146
mild,4,32,predicted_utility,4,0.6804394463587454,0.04698978036687255,0.023494890183436274,16.0,0.0021719628125538293
mild,4,32,predicted_utility,8,0.6870293002819863,0.006589853923240867,0.0016474634808102168,32.0,0.0043439256251076586
mild,4,32,predicted_utility,16,0.6833284703082007,-0.0037008299737856104,-0.0004626037467232013,64.0,0.008687851250215317
mild,4,32,predicted_utility,32,0.6813180236781736,-0.00201044663002702,-0.00012565291437668875,128.0,0.017375702500430634
mild,4,32,predicted_utility,64,0.6822673924311109,0.0009493687529373032,2.9667773529290726e-05,256.0,0.03475140500086127
mild,4,32,predicted_utility,128,0.6831613690748358,0.0008939766437248198,1.3968385058200309e-05,512.0,0.06950281000172254
mild,4,32,random_score,1,0.5279373938825358,0.0,0.0,4.0,0.0005429907031384573
mild,4,32,random_score,2,0.5285895348894356,0.0006521410068998604,0.0006521410068998604,8.0,0.0010859814062769146
mild,4,32,random_score,4,0.5351390673671876,0.006549532477751967,0.0032747662388759834,16.0,0.0021719628125538293
mild,4,32,random_score,8,0.5376488816775491,0.002509814310361476,0.000627453577590369,32.0,0.0043439256251076586
mild,4,32,random_score,16,0.5304193915869051,-0.007229490090643925,-0.0009036862613304907,64.0,0.008687851250215317
mild,4,32,random_score,32,0.5109633047631414,-0.01945608682376367,-0.0012160054264852293,128.0,0.017375702500430634
mild,4,32,random_score,64,0.4858186683614222,-0.025144636401719288,-0.0007857698875537277,256.0,0.03475140500086127
mild,4,32,random_score,128,0.4717112586982556,-0.014107409663166592,-0.000220428275986978,512.0,0.06950281000172254
mild,4,32,uncertainty_penalized,1,0.5279373938825358,0.0,0.0,4.0,0.0005429907031384573
mild,4,32,uncertainty_penalized,2,0.6211421297834904,0.09320473590095465,0.09320473590095465,8.0,0.0010859814062769146
mild,4,32,uncertainty_penalized,4,0.6612507005811848,0.04010857079769445,0.020054285398847224,16.0,0.0021719628125538293
mild,4,32,uncertainty_penalized,8,0.6706623617422358,0.009411661161050959,0.0023529152902627398,32.0,0.0043439256251076586
