seed,state_id,mismatch,horizon,pool_size,scorer,profile_class,stop_n,gain_N128_minus_N1,value_N1,value_N128,seconds_per_rollout_estimate
911,0,mild,4,32,predicted_utility,helpful,64,0.4078210742898829,0.5069000905385642,0.9147211648284471,0.0012227156249764448
911,0,mild,4,32,uncertainty_penalized,helpful,64,0.40610191827703823,0.5069000905385642,0.9130020088156025,0.0012227156249764448
911,0,mild,4,32,random_score,harmful,16,-0.060688851920029596,0.5069000905385643,0.44621123861853473,0.0012227156249764448
911,0,mild,4,32,oracle_real_utility,helpful,32,0.4930151592830119,0.5069000905385641,0.999915249821576,0.0012227156249764448
911,1,mild,4,32,predicted_utility,harmful,8,-0.06887473950270329,0.5435762547111728,0.4747015152084695,0.0012227156249764448
911,1,mild,4,32,uncertainty_penalized,harmful,8,-0.07728285209569846,0.5435762547111728,0.4662934026154743,0.0012227156249764448
911,1,mild,4,32,random_score,harmful,2,-0.24426255287868504,0.5435762547111727,0.2993137018324876,0.0012227156249764448
911,1,mild,4,32,oracle_real_utility,helpful,32,0.456368333946477,0.5435762547111728,0.9999445886576498,0.0012227156249764448
911,2,mild,4,32,predicted_utility,helpful,64,0.5378795667458387,0.4247106065176745,0.9625901732635131,0.0012227156249764448
911,2,mild,4,32,uncertainty_penalized,helpful,32,0.4723891016623503,0.4247106065176745,0.8970997081800248,0.0012227156249764448
911,2,mild,4,32,random_score,harmful,2,-0.2217215603100405,0.4247106065176744,0.2029890462076339,0.0012227156249764448
911,2,mild,4,32,oracle_real_utility,helpful,32,0.5751186065327268,0.42471060651767445,0.9998292130504013,0.0012227156249764448
911,3,mild,4,32,predicted_utility,unstable,8,-0.01894554403263482,0.519240048052627,0.5002945040199922,0.0012227156249764448
911,3,mild,4,32,uncertainty_penalized,unstable,4,-0.01906380442653477,0.519240048052627,0.5001762436260923,0.0012227156249764448
911,3,mild,4,32,random_score,harmful,2,-0.31725070123016175,0.519240048052627,0.2019893468224653,0.0012227156249764448
911,3,mild,4,32,oracle_real_utility,helpful,32,0.4805699211977359,0.519240048052627,0.9998099692503629,0.0012227156249764448
911,4,mild,4,32,predicted_utility,helpful,64,0.5095392103861525,0.48902480193297576,0.9985640123191282,0.0012227156249764448
911,4,mild,4,32,uncertainty_penalized,helpful,64,0.5095434972210219,0.4890248019329757,0.9985682991539976,0.0012227156249764448
911,4,mild,4,32,random_score,harmful,2,-0.36205889701128197,0.4890248019329757,0.12696590492169374,0.0012227156249764448
911,4,mild,4,32,oracle_real_utility,helpful,64,0.5095434972210219,0.4890248019329757,0.9985682991539976,0.0012227156249764448
911,5,mild,4,32,predicted_utility,unstable,4,0.013450582878014206,0.44587310629077437,0.4593236891687886,0.0012227156249764448
911,5,mild,4,32,uncertainty_penalized,saturating,4,0.013450582878011985,0.44587310629077437,0.45932368916878635,0.0012227156249764448
911,5,mild,4,32,random_score,harmful,2,-0.05230085004692797,0.4458731062907743,0.39357225624384634,0.0012227156249764448
911,5,mild,4,32,oracle_real_utility,helpful,64,0.5539723198294372,0.44587310629077426,0.9998454261202114,0.0012227156249764448
911,6,mild,4,32,predicted_utility,helpful,8,0.29551835302449614,0.6297679061502788,0.9252862591747749,0.0012227156249764448
911,6,mild,4,32,uncertainty_penalized,unstable,8,0.2953568311221495,0.6297679061502788,0.9251247372724283,0.0012227156249764448
911,6,mild,4,32,random_score,helpful,64,0.3409912820181229,0.6297679061502789,0.9707591881684018,0.0012227156249764448
911,6,mild,4,32,oracle_real_utility,helpful,16,0.37014678471434226,0.6297679061502788,0.999914690864621,0.0012227156249764448
911,7,mild,4,32,predicted_utility,unstable,8,0.006433475153713064,0.5256890547717682,0.5321225299254813,0.0012227156249764448
