state_id,mismatch,scorer,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility,normalized_imagined_utility,normalized_gap_imagined_minus_real,p,kappa,tie_rate,seed,seed_id
0,none,predicted_utility,1,0.125,-10.568693293930226,-3.8573621345648963,6.711331159365329,0.7245835061492713,0.7127619764908976,-0.011821529658373686,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,2,0.21006944444444453,-3.9916360871528456,-1.6794950225239103,2.3121410646289355,0.8526946327264964,0.8496525211327266,-0.0030421115937697696,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,4,0.3016523196373457,-0.8143542986565495,-0.5023007213257418,0.31205357733080774,0.9145832763220118,0.923645451256574,0.009062174934562295,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,8,0.3302443888815707,0.3121173118672874,0.07394043164902875,-0.23817688021825867,0.9365252395046889,0.9598652760749157,0.023340036570226763,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,16,0.23740132787294344,0.32352671287904067,0.3628429009257169,0.03931618804667625,0.9367474773796584,0.9780243346092965,0.04127685722963814,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,32,0.09207849152783626,0.012036877509517985,0.5288184934826625,0.5167816159731445,0.9306801265155936,0.9884567843840111,0.05777665786841746,0.125,0.8888888888888888,0.0,701,0
0,none,predicted_utility,64,0.013127855511437296,0.03409770475841578,0.6383209285730794,0.6042232238146636,0.9311098380633615,0.995339595505157,0.0642297574417956,0.125,0.8888888888888888,0.0,701,0
1,none,predicted_utility,1,0.04166666666666663,-17.251283341207817,-6.635200399053248,10.616082942154568,0.6416691340467674,0.6401587969307989,-0.0015103371159684853,0.041666666666666664,0.8804347826086957,0.0,701,0
1,none,predicted_utility,2,0.07204861111111105,-8.382750715591605,-3.506697602709151,4.876053112882454,0.7980051400900784,0.8055606194032091,0.00755547931313072,0.041666666666666664,0.8804347826086957,0.0,701,0
1,none,predicted_utility,4,0.10847944094810946,-3.3161726595687484,-1.5392354193052271,1.7769372402635213,0.8873196423897486,0.9095790115749655,0.02225936918521687,0.041666666666666664,0.8804347826086957,0.0,701,0
1,none,predicted_utility,8,0.1263912361460291,-1.212493968847618,-0.5775172233093967,0.6349767455382213,0.9244036492248604,0.9604244007842943,0.03602075155943385,0.041666666666666664,0.8804347826086957,0.0,701,0
1,none,predicted_utility,16,0.09450559361325327,-0.7983305869111788,-0.21028057486614615,0.5880500120450326,0.931704591975447,0.9798399534896185,0.048135361514171526,0.041666666666666664,0.8804347826086957,0.0,701,0
