scorer,profile_class,count
anti_real_utility,harmful,480
oracle_real_utility,helpful,480
predicted_utility,harmful,239
predicted_utility,helpful,204
predicted_utility,unstable,37
random_score,harmful,207
random_score,helpful,167
random_score,saturating,90
random_score,unstable,16
safety_penalized,harmful,239
safety_penalized,helpful,199
safety_penalized,unstable,42
uncertainty_penalized,harmful,239
uncertainty_penalized,helpful,192
uncertainty_penalized,unstable,49
