env,backend,scorer,seed,mismatch,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility
block_push,analytic_nominal,anti_real_utility,1001,mild,1,0.171875,-0.6573257209078422,-4.945812278011799,-4.2884865571039565,0.5952335846646473
block_push,analytic_nominal,anti_real_utility,1001,mild,8,7.615557287010688e-07,-4.3164121898282755,-15.90387878538393,-11.587466595555654,0.27375160524282643
block_push,analytic_nominal,anti_real_utility,1001,mild,64,1.131393072298392e-49,-6.742574657240153,-24.886563531338922,-18.143988874098767,0.060592523311477825
block_push,oracle_true,anti_real_utility,1001,mild,1,0.171875,-0.6573257209078422,-0.6573257209078422,0.0,0.5952335846646473
block_push,oracle_true,anti_real_utility,1001,mild,8,7.615557287010688e-07,-4.3164121898282755,-4.3164121898282755,0.0,0.27375160524282643
block_push,oracle_true,anti_real_utility,1001,mild,64,1.131393072298392e-49,-6.742574657240153,-6.742574657240153,0.0,0.060592523311477825
block_push,horizon_wam,anti_real_utility,1001,mild,1,0.171875,-0.6573257209078422,-0.7598771659645,-0.1025514450566577,0.5952335846646473
block_push,horizon_wam,anti_real_utility,1001,mild,8,7.615557287010688e-07,-4.3164121898282755,-4.864688354173474,-0.5482761643451983,0.27375160524282643
block_push,horizon_wam,anti_real_utility,1001,mild,64,1.131393072298392e-49,-6.742574657240153,-7.411992088857364,-0.6694174316172106,0.060592523311477825
block_push,mlp_dynamics_wam,anti_real_utility,1001,mild,1,0.171875,-0.6573257209078422,-0.7341041127797383,-0.07677839187189606,0.5952335846646473
block_push,mlp_dynamics_wam,anti_real_utility,1001,mild,8,7.615557287010688e-07,-4.3164121898282755,-3.7016663130552003,0.6147458767730751,0.27375160524282643
block_push,mlp_dynamics_wam,anti_real_utility,1001,mild,64,1.131393072298392e-49,-6.742574657240153,-5.023316656735213,1.71925800050494,0.060592523311477825
block_push,ensemble_wam,anti_real_utility,1001,mild,1,0.171875,-0.6573257209078422,-0.7659053642855018,-0.10857964337765957,0.5952335846646473
