scorer,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility,normalized_imagined_utility,normalized_gap_imagined_minus_real,p,kappa,tie_rate
oracle_real_utility,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420786,0.05859375,1.0,0.0
oracle_real_utility,2,0.11334228515625,-1.5719414928142341,-5.097162007097746,-3.5252205142835122,0.7424935650841511,0.8399486145753636,0.09745504949121249,0.05859375,1.0,0.0
oracle_real_utility,4,0.21234901249408722,0.06683442742864168,-1.45674994513873,-1.5235843725673717,0.8250824021708851,0.9082870974638038,0.08320469529291868,0.05859375,1.0,0.0
oracle_real_utility,8,0.37472908980715847,1.1408689323349672,-0.31232909578795687,-1.453198028122924,0.8795956733212998,0.9295807442662878,0.04998507094498793,0.05859375,1.0,0.0
oracle_real_utility,16,0.595812269851515,2.0600277475892175,-0.05871326775176598,-2.1187410153409836,0.9264717035743669,0.9342526765899857,0.007780973015618767,0.05859375,1.0,0.0
oracle_real_utility,32,0.81122346642966,2.817716012271587,-0.03244240514640534,-2.8501584174179926,0.9649842820455943,0.9347912604438233,-0.030193021601770953,0.05859375,1.0,0.0
oracle_real_utility,64,0.9367264778945996,3.261139846461668,-0.07166601441498054,-3.332805860876648,0.9873100062961453,0.9342160128758197,-0.0530939934203256,0.05859375,1.0,0.0
predicted_goal_distance,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420779,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,2,0.10247802734375,-1.6466458338220578,-5.008760113389164,-3.3621142795671064,0.738637799886386,0.841743019711203,0.10310521982481705,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,4,0.15849502384662628,-0.2267153386535134,-1.0750843406285846,-0.8483690019750713,0.8098534144315783,0.9158870901534105,0.1060336757218322,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,8,0.1979993840860148,0.3284760422119697,0.545636084748661,0.2171600425366913,0.8375305887758652,0.9465284938135818,0.1089979050377167,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,16,0.1814900804782669,0.3677624237912452,1.4629369986314282,1.0951745748401829,0.8390922325825118,0.964134632428539,0.12504239984602733,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,32,0.12805113399495707,0.16040082236020425,2.1798630145688107,2.0194621922086067,0.8282679872661934,0.9780372886374422,0.14976930137124878,0.05859375,0.8961561467691643,0.0
predicted_goal_distance,64,0.10167622991099624,0.0073046954770274244,2.676445151015855,2.6691404555388276,0.8204258469451438,0.9876976520289403,0.16727180508379652,0.05859375,0.8961561467691643,0.0
predicted_success,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420779,0.05859375,0.8961561467691643,0.0
predicted_success,2,0.10247802734375,-1.6465339555158014,-5.008626903996148,-3.362092948480347,0.7386425546076795,0.8417447908588114,0.10310223625113192,0.05859375,0.8961561467691643,0.0
predicted_success,4,0.15849502384662628,-0.22649581918810358,-1.0736432847051944,-0.847147465517091,0.8098612139063643,0.9159101796004085,0.10604896569404418,0.05859375,0.8961561467691643,0.0
predicted_success,8,0.1979993840860148,0.328839023949013,0.552519545669497,0.22368052172048403,0.8375422822163823,0.9466421735129296,0.10909989129654735,0.05859375,0.8961561467691643,0.0
predicted_success,16,0.1814900804782669,0.36890946143925274,1.4881235425108725,1.1192140810716198,0.8391356496187816,0.9645522829813822,0.12541663336260064,0.05859375,0.8961561467691643,0.0
predicted_success,32,0.12805113399495707,0.1657812145046708,2.2543328030166094,2.0885515885119386,0.8284920140523852,0.9792727895794519,0.15078077552706676,0.05859375,0.8961561467691643,0.0
predicted_success,64,0.10167622991099624,0.026174639341639674,2.8419120416896075,2.8157374023479678,0.8212361069600271,0.9904436784893502,0.16920757152932298,0.05859375,0.8961561467691643,0.0
predicted_utility,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420782,0.05859375,0.899084835900184,0.0
predicted_utility,2,0.1026611328125,-1.644589320195565,-4.981490983130465,-3.3369016629349,0.7387192446033393,0.8422633164658597,0.1035440718625204,0.05859375,0.899084835900184,0.0
predicted_utility,4,0.15940818190574646,-0.22981928084408726,-1.0654547062481263,-0.835635425404039,0.8096887627356065,0.9160696016511118,0.10638083891550533,0.05859375,0.899084835900184,0.0
predicted_utility,8,0.20096148618291743,0.33438053759473696,0.5545639145715673,0.22018337697683038,0.8378232502146561,0.946681177698886,0.10885792748422997,0.05859375,0.899084835900184,0.0
predicted_utility,16,0.1877780575048257,0.38952138371232675,1.4894713786834208,1.099949994971094,0.8401798819726833,0.9645760456092864,0.12439616363660302,0.05859375,0.899084835900184,0.0
predicted_utility,32,0.13507904690593592,0.19025183709622018,2.256197640624233,2.065945803528013,0.8297462225214371,0.9793052549005048,0.14955903237906762,0.05859375,0.899084835900184,0.0
predicted_utility,64,0.10453512853523927,0.036189049763804174,2.8431471737907907,2.8069581240269863,0.8217616099373489,0.9904650066806842,0.1687033967433353,0.05859375,0.899084835900184,0.0
random_score,1,0.05859375,-4.28553606275634,-12.759629931349503,-8.474093868593162,0.6057434033425999,0.6953188267168078,0.08957542337420785,0.05859375,0.4891881204876134,0.0
random_score,2,0.0546875,-4.117462982677433,-12.127484541732905,-8.01002155905547,0.6130170748111812,0.7052150447135097,0.09219796990232854,0.05859375,0.4891881204876134,0.0
random_score,4,0.045942068099975586,-4.022700963267316,-11.725877718737417,-7.7031767554701,0.6174054439796763,0.7113885114130989,0.09398306743342258,0.05859375,0.4891881204876134,0.0
random_score,8,0.036118976562562466,-3.9978233923015436,-11.559262790858874,-7.56143939855733,0.6190472607924171,0.7139974878509666,0.0949502270585494,0.05859375,0.4891881204876134,0.0
random_score,16,0.034703811318192675,-3.9588300892864057,-11.357149776138495,-7.398319686852089,0.6217917602144141,0.7177189660091792,0.09592720579476502,0.05859375,0.4891881204876134,0.0
random_score,32,0.050218597893327326,-3.830835903692486,-11.002912858062778,-7.172076954370292,0.6285466454367883,0.7247411191179806,0.09619447368119227,0.05859375,0.4891881204876134,0.0
random_score,64,0.07938368245139818,-3.7157171826362942,-10.90932951454836,-7.193612331912066,0.632842713130248,0.7257221885391396,0.09287947540889166,0.05859375,0.4891881204876134,0.0
safety_penalized,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420782,0.05859375,0.8993441671959143,0.0
safety_penalized,2,0.1026611328125,-1.6479793327407242,-4.982140399898991,-3.3341610671582664,0.7385469904071753,0.8422505771411357,0.10370358673396042,0.05859375,0.8993441671959143,0.0
safety_penalized,4,0.15931886434555054,-0.2357073102817558,-1.066409110746365,-0.8307018004646092,0.8093844872698177,0.9160507448159949,0.10666625754617721,0.05859375,0.8993441671959143,0.0
safety_penalized,8,0.20023841515277851,0.33004022250128145,0.5541307107445601,0.22409048824327868,0.8375917161791822,0.9466726409159606,0.10908092473677845,0.05859375,0.8993441671959143,0.0
safety_penalized,16,0.18510498476099482,0.38245676075821344,1.4893844897412147,1.1069277289830013,0.8397970186642605,0.9645744316629004,0.12477741299863987,0.05859375,0.8993441671959143,0.0
safety_penalized,32,0.13065757277350976,0.17767564140088146,2.256154417301756,2.0784787759008743,0.8290702684266843,0.9793044950615606,0.15023422663487623,0.05859375,0.8993441671959143,0.0
safety_penalized,64,0.10208108688265392,0.028979785772966157,2.8431298905132203,2.8141501047402544,0.8213747348981563,0.9904647094123596,0.16908997451420338,0.05859375,0.8993441671959143,0.0
uncertainty_penalized,1,0.05859375,-4.285536062756339,-12.759629931349503,-8.474093868593163,0.6057434033425999,0.6953188267168078,0.08957542337420785,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,2,0.10296630859375,-1.6432942079722055,-4.982259029664969,-3.3389648216927634,0.7387909716891773,0.8422486159990381,0.10345764430986086,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,4,0.16062553226947784,-0.22531938680696584,-1.0680200053158604,-0.8427006185088944,0.8099414612355885,0.9160206005625346,0.10607913932694615,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,8,0.20343262370545023,0.3413455435288711,0.5496835760592745,0.20833803253040337,0.8382363112668934,0.9465883551413341,0.10835204387444078,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,16,0.18928159746953802,0.39156076088563274,1.4838427979873983,1.0922820371017654,0.8403571561185647,0.9644705822920849,0.12411342617352032,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,32,0.1329172192910453,0.18347193967132047,2.252940682647365,2.0694687429760448,0.8294184548790693,0.9792462326005655,0.1498277777214963,0.05859375,0.9019814738551715,0.0
uncertainty_penalized,64,0.10239900092324322,0.030268495683866803,2.842585232946909,2.812316737263042,0.821446023142636,0.9904551372720017,0.16900911412936578,0.05859375,0.9019814738551715,0.0
