mismatch,imagined_gain_N64_minus_N1,real_gain_N64_minus_N1,gap_N1,gap_N64,gap_growth,normalized_gap_growth,real_utility_N64,normalized_real_utility_N64,success_N64
mild,14.627324300170223,4.41995392025037,-7.711666591385509,2.495703788534343,10.207370379919851,0.07188305797921912,0.21724726303701525,0.831429182969098,0.10072748300475513
none,14.612388475649595,14.612388475649595,0.0,0.0,0.0,0.0,2.7915564384714258,0.9938047007354786,0.7751878784246996
severe,14.860635015823291,-1.5748378091447461,-12.494921048411557,3.94055177655648,16.435472824968038,0.5601085755108555,-0.9995832844191239,0.18621042348364392,2.136004785804953e-08
stuck_slip,15.296807831277054,-1.6155154396654268,-13.125055719027557,3.787267551914921,16.91232327094248,0.6661228806359839,-1.2022856294917963,0.3218568517154556,2.580171657254681e-11
