env,backend,scorer,seed,mismatch,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility
block_push,analytic_nominal,random,1001,mild,1,0.171875,-0.6573257209078427,-4.945812278011799,-4.288486557103956,0.5952335846646475
block_push,analytic_nominal,random,1001,mild,2,0.162841796875,-0.7595528699001768,-5.165609541718016,-4.406056671817839,0.5862520570380534
block_push,analytic_nominal,random,1001,mild,4,0.1300782561302185,-1.0016550017552286,-5.703588684267787,-4.701933682512559,0.564981318226033
block_push,analytic_nominal,random,1001,mild,8,0.09334606462357087,-1.2320866217268711,-6.037405827008715,-4.805319205281844,0.5447359334997964
block_push,analytic_nominal,random,1001,mild,16,0.047525021225315454,-1.4793409661794574,-6.358301528024958,-4.878960561845501,0.5230125288329714
block_push,analytic_nominal,random,1001,mild,32,0.010961861699177483,-1.9158245827949207,-7.767145270590204,-5.851320687795283,0.4846637173887493
block_push,analytic_nominal,random,1001,mild,64,0.0004092478937631009,-2.6900838724016682,-10.610053429430284,-7.919969557028615,0.4166384298961725
block_push,analytic_nominal,predicted_utility,1001,mild,1,0.171875,-0.6573257209078418,-4.945812278011795,-4.288486557103953,0.5952335846646476
block_push,analytic_nominal,predicted_utility,1001,mild,2,0.274658203125,0.5998430286134249,-1.242361643141154,-1.8422046717545788,0.7056865902156734
block_push,analytic_nominal,predicted_utility,1001,mild,4,0.35611921548843384,1.3157333986827682,0.835871945749117,-0.4798614529336511,0.7685836699031108
block_push,analytic_nominal,predicted_utility,1001,mild,8,0.3165283022530083,1.3303290556073981,2.1048064474854593,0.7744773918780612,0.7698660229491365
block_push,analytic_nominal,predicted_utility,1001,mild,16,0.1488055503306686,0.7988946717965432,3.1174888339754574,2.3185941621789143,0.7231749761287164
block_push,analytic_nominal,predicted_utility,1001,mild,32,0.0244473757898754,0.45501702084642903,3.751565756194475,3.296548735348046,0.692962389231587
block_push,analytic_nominal,predicted_utility,1001,mild,64,0.0006031872028631842,0.48237778846002577,3.959066207280567,3.476688418820541,0.6953662662117107
block_push,analytic_nominal,predicted_goal_distance,1001,mild,1,0.171875,-0.657325720907842,-4.945812278011795,-4.288486557103953,0.5952335846646476
block_push,analytic_nominal,predicted_goal_distance,1001,mild,2,0.275146484375,0.6250715512438896,-1.257479360441165,-1.8825509116850545,0.7079031312736721
block_push,analytic_nominal,predicted_goal_distance,1001,mild,4,0.35817426443099976,1.349223912277728,0.8234283759010781,-0.52579553637665,0.7715260973898099
block_push,analytic_nominal,predicted_goal_distance,1001,mild,8,0.32225437024282755,1.3592416390791981,2.10274898247331,0.7435073433941117,0.7724062401983494
block_push,analytic_nominal,predicted_goal_distance,1001,mild,16,0.15946014810511877,0.8432236348187487,3.117203341818394,2.2739797069996452,0.7270696539121304
block_push,analytic_nominal,predicted_goal_distance,1001,mild,32,0.03203865421195545,0.4865109590762766,3.7514430873992626,3.264932128322986,0.6957294005301495
block_push,analytic_nominal,predicted_goal_distance,1001,mild,64,0.0014270060975597174,0.4857929431723242,3.95905344771407,3.473260504541746,0.6956663167041675
block_push,analytic_nominal,safety_penalized,1001,mild,1,0.171875,-0.657325720907842,-4.945812278011795,-4.288486557103953,0.5952335846646476
block_push,analytic_nominal,safety_penalized,1001,mild,2,0.273681640625,0.5787410152727566,-1.2455933468832607,-1.8243343621560173,0.703832598221725
block_push,analytic_nominal,safety_penalized,1001,mild,4,0.3530169129371643,1.2755023472175306,0.8310398868228307,-0.44446246039469994,0.7650490286288143
block_push,analytic_nominal,safety_penalized,1001,mild,8,0.3123261606577934,1.3004732718446186,2.102887859544548,0.8024145876999293,0.7672429375034187
block_push,analytic_nominal,safety_penalized,1001,mild,16,0.14709211040555745,0.7909626629239589,3.11728078885655,2.326318125932591,0.7224780814434422
block_push,analytic_nominal,safety_penalized,1001,mild,32,0.024361340933971864,0.45468615252947375,3.7515609147321825,3.296874762202709,0.6929333196257261
block_push,analytic_nominal,safety_penalized,1001,mild,64,0.0006031149558087818,0.48237751814359753,3.9590662038525934,3.476688685708996,0.6953662424621051
block_push,analytic_nominal,uncertainty_penalized,1001,mild,1,0.171875,-0.6573257209078418,-4.945812278011795,-4.288486557103953,0.5952335846646476
block_push,analytic_nominal,uncertainty_penalized,1001,mild,2,0.276123046875,0.6150555962396778,-1.2452893919600352,-1.860344988199713,0.7070231441326457
block_push,analytic_nominal,uncertainty_penalized,1001,mild,4,0.36079591512680054,1.345674560375729,0.830006853613454,-0.5156677067622749,0.7712142565287614
block_push,analytic_nominal,uncertainty_penalized,1001,mild,8,0.32276530707360607,1.3583892912712525,2.1001214623955637,0.7417321711243112,0.772331354167975
block_push,analytic_nominal,uncertainty_penalized,1001,mild,16,0.15106544966693156,0.8077642790666802,3.1164597593522396,2.3086954802855595,0.7239542468363418
block_push,analytic_nominal,uncertainty_penalized,1001,mild,32,0.024522228776633376,0.4552893303777694,3.751544811162069,3.2962554807843,0.6929863139482875
block_push,analytic_nominal,uncertainty_penalized,1001,mild,64,0.0006032132878500126,0.48237787911295993,3.9590662023122043,3.4766883231992445,0.6953662741763448
block_push,analytic_nominal,oracle_real_utility,1001,mild,1,0.171875,-0.6573257209078421,-4.945812278011796,-4.288486557103954,0.5952335846646474
block_push,analytic_nominal,oracle_real_utility,1001,mild,2,0.314208984375,0.8225470091219285,-1.6627279342727987,-2.485274943394727,0.7252530358537059
block_push,analytic_nominal,oracle_real_utility,1001,mild,4,0.529690682888031,2.068116147173983,-0.22093882951788002,-2.289054976691863,0.8346869165255247
block_push,analytic_nominal,oracle_real_utility,1001,mild,8,0.7788091462376734,3.072068423331111,0.08763782019907024,-2.9844306031320404,0.9228926934934738
block_push,analytic_nominal,oracle_real_utility,1001,mild,16,0.9510746062118931,3.6840234770785423,0.10333407346136603,-3.580689403617176,0.9766581684738875
block_push,analytic_nominal,oracle_real_utility,1001,mild,32,0.9976063058426787,3.8803921549363056,0.1601515942194074,-3.7202405607168982,0.9939108329819183
block_push,analytic_nominal,oracle_real_utility,1001,mild,64,0.9999942702282811,3.924068126917967,0.20866588116399068,-3.7154022457539764,0.997748139928638
block_push,oracle_true,random,1001,mild,1,0.171875,-0.6573257209078427,-0.6573257209078427,0.0,0.5952335846646474
block_push,oracle_true,random,1001,mild,2,0.139892578125,-0.9595735376052033,-0.9595735376052033,0.0,0.5686785340493883
block_push,oracle_true,random,1001,mild,4,0.1197250485420227,-1.2713225503405132,-1.2713225503405132,0.0,0.5412887222621542
block_push,oracle_true,random,1001,mild,8,0.09697402682410328,-1.5929818722195481,-1.5929818722195481,0.0,0.5130282052245064
block_push,oracle_true,random,1001,mild,16,0.05612764731777142,-2.0847397854946625,-2.0847397854946625,0.0,0.46982307500995024
block_push,oracle_true,random,1001,mild,32,0.01258119767771274,-2.5521744500484824,-2.5521744500484824,0.0,0.4287549498132606
block_push,oracle_true,random,1001,mild,64,0.0004221197727463407,-2.5873082573430937,-2.5873082573430937,0.0,0.4256681449482669
block_push,oracle_true,predicted_utility,1001,mild,1,0.171875,-0.6573257209078421,-0.6573257209078421,0.0,0.5952335846646474
block_push,oracle_true,predicted_utility,1001,mild,2,0.314208984375,0.8225470091219285,0.8225470091219285,0.0,0.7252530358537059
block_push,oracle_true,predicted_utility,1001,mild,4,0.529690682888031,2.068116147173983,2.068116147173983,0.0,0.8346869165255247
block_push,oracle_true,predicted_utility,1001,mild,8,0.7788091462376734,3.072068423331111,3.072068423331111,0.0,0.9228926934934738
block_push,oracle_true,predicted_utility,1001,mild,16,0.9510746062118931,3.6840234770785423,3.6840234770785423,0.0,0.9766581684738875
block_push,oracle_true,predicted_utility,1001,mild,32,0.9976063058426787,3.8803921549363056,3.8803921549363056,0.0,0.9939108329819183
block_push,oracle_true,predicted_utility,1001,mild,64,0.9999942702282811,3.924068126917967,3.924068126917967,0.0,0.997748139928638
block_push,oracle_true,predicted_goal_distance,1001,mild,1,0.171875,-0.657325720907842,-0.657325720907842,0.0,0.5952335846646476
block_push,oracle_true,predicted_goal_distance,1001,mild,2,0.275146484375,0.6250715512438896,0.6250715512438896,0.0,0.7079031312736721
block_push,oracle_true,predicted_goal_distance,1001,mild,4,0.35817426443099976,1.349223912277728,1.349223912277728,0.0,0.7715260973898099
block_push,oracle_true,predicted_goal_distance,1001,mild,8,0.32225437024282755,1.3592416390791981,1.3592416390791981,0.0,0.7724062401983494
block_push,oracle_true,predicted_goal_distance,1001,mild,16,0.15946014810511877,0.8432236348187487,0.8432236348187487,0.0,0.7270696539121304
block_push,oracle_true,predicted_goal_distance,1001,mild,32,0.03203865421195545,0.4865109590762766,0.4865109590762766,0.0,0.6957294005301495
block_push,oracle_true,predicted_goal_distance,1001,mild,64,0.0014270060975597174,0.4857929431723242,0.4857929431723242,0.0,0.6956663167041675
block_push,oracle_true,safety_penalized,1001,mild,1,0.171875,-0.6573257209078417,-0.6573257209078417,0.0,0.5952335846646474
block_push,oracle_true,safety_penalized,1001,mild,2,0.314208984375,0.7734819000360569,0.7734819000360569,0.0,0.7209422472119369
