backend,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility,normalized_imagined_utility,normalized_gap_imagined_minus_real,p,kappa,tie_rate
analytic_nominal_wam,1,0.054583333333333345,-4.087874903794881,-12.102461490011674,-8.014586586216792,0.6167393082190274,0.7111452393043775,0.09440593108535003,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,2,0.09382291666666669,-1.5760649885932632,-4.6481687759006425,-3.0721037873073795,0.742415326424142,0.8504453402102601,0.10803001378611808,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,4,0.1407896158854167,-0.27748561808976085,-0.9400601770943784,-0.6625745590046176,0.8071776771632938,0.9197789069885502,0.11260122982525635,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,8,0.1680307928797953,0.2211530363453522,0.6711804840907828,0.4500274477454306,0.8317238256753456,0.9499865962254058,0.11826277055006008,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,16,0.14630844130252862,0.278819142682781,1.6587726981920323,1.3799535555092513,0.8340778948875899,0.9685467098456833,0.1344688149580935,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,32,0.09872530452944901,0.1423804004577829,2.4112798077675413,2.2688994073097586,0.8269268745413049,0.9826410436915917,0.15571416915028685,0.05458333333333333,0.8880387110818763,0.0
analytic_nominal_wam,64,0.06819921432492913,0.023917104827379694,2.9171536306507306,2.8932365258233514,0.8208899465187987,0.9920658450756269,0.17117589855682824,0.05458333333333333,0.8880387110818763,0.0
learned_wam_lite,1,0.054583333333333324,-4.087874903794881,-4.3458808062791165,-0.2580059024842365,0.6167393082190274,0.7029524740718173,0.08621316585278979,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,2,0.09964062499999998,-1.537500325224947,-1.782729220846175,-0.24522889562122796,0.7445264968656039,0.8527185824507535,0.1081920855851496,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,4,0.1686918969726562,-0.12017355388496469,-0.4177271008698983,-0.2975535469849336,0.8156733090399467,0.9324183684495723,0.11674505940962557,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,8,0.2540231397457146,0.6197363238967807,0.1571864759841189,-0.4625498479126618,0.8530055444571294,0.9659664716697011,0.11296092721257169,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,16,0.3284149831084381,1.032068828299285,0.4109788826021816,-0.6210899456971034,0.873839709559573,0.980723187868163,0.10688347830858998,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,32,0.3651532461945616,1.1952013974291391,0.5502887231887422,-0.6449126742403971,0.8819139109688078,0.9887534704456902,0.10683955947688235,0.05458333333333333,0.9397445858123407,0.0
learned_wam_lite,64,0.3692594177941845,1.1937533688696218,0.6457098100254158,-0.5480435588442059,0.8815220783174765,0.9941944239950854,0.11267234567760899,0.05458333333333333,0.9397445858123407,0.0
oracle_true_dynamics,1,0.05458333333333334,-4.087874903794881,-4.087874903794881,0.0,0.6167393082190274,0.6167393082190274,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,2,0.10558854166666665,-1.492233029400873,-1.492233029400873,0.0,0.7469055536850381,0.7469055536850381,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,4,0.19790151285807292,0.04811995979055465,0.04811995979055465,0.0,0.8245178166142637,0.8245178166142637,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,8,0.3498969349379909,1.0628763408237187,1.0628763408237187,0.0,0.8761710084119855,0.8761710084119855,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,16,0.5600865527652211,1.9492908292668967,1.9492908292668967,0.0,0.921490264803883,0.921490264803883,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,32,0.7758619236023561,2.7058466165631767,2.7058466165631767,0.0,0.9600358396196013,0.9600358396196013,0.0,0.05458333333333333,1.0,0.0
oracle_true_dynamics,64,0.9188128192217101,3.188880020690755,3.188880020690755,0.0,0.984515925631969,0.984515925631969,0.0,0.05458333333333333,1.0,0.0
