split,mismatch,n_samples,feature_dim,target_dim,min_horizon,max_horizon,mean_utility,std_utility
train,mild,2048,97,3,1,12,-1.078431941773856,2.8940942232754128
validation,mild,768,97,3,1,12,-0.7662210879410298,2.610794039250695
ood,severe,192,97,3,1,12,-0.19801324613966462,1.559494518536198
ood,stuck_slip,192,97,3,1,12,-0.7331695997923194,1.0746493315486059
ood,nonstationary,192,97,3,1,12,-1.0378728582472863,3.0075953965472806
