split,mismatch,n_samples,final_delta_mae,final_position_l2_mae,utility_mae,utility_rmse,utility_corr
train,mild,2048,0.05910996750958291,0.0938194897379459,0.7534352954906576,1.055641835617476,0.9311026539694442
validation,mild,768,0.07366012085339552,0.11172250197070248,0.8623689603284147,1.1687153364750862,0.894453974332229
ood,severe,192,0.7357859458359538,1.1683609042951872,2.2723724651895516,3.4059853952788464,-0.2601606379995927
ood,stuck_slip,192,1.0318295157537996,1.6007031805181484,2.127490419092671,3.5159234613946446,-0.5290518505853578
ood,nonstationary,192,0.11036849596561,0.17857172047620903,1.0671464005106506,1.432925529416328,0.9038958682905572
