seed,state_id,mismatch,dynamics_backend,scorer,N,normalized_real_utility,delta_value,delta_per_rollout
701,0,mild,analytic,predicted_utility,1,0.5716473316598097,0.0,0.0
701,0,mild,analytic,predicted_utility,2,0.6805791437157577,0.10893181205594793,0.10893181205594793
701,0,mild,analytic,predicted_utility,4,0.7396329580150411,0.05905381429928347,0.029526907149641735
701,0,mild,analytic,predicted_utility,8,0.7593110721417515,0.01967811412671039,0.004919528531677597
701,0,mild,analytic,predicted_utility,16,0.7525565148914923,-0.006754557250259197,-0.0008443196562823996
701,0,mild,analytic,predicted_utility,32,0.7349871743566794,-0.01756934053481296,-0.00109808378342581
701,0,mild,analytic,predicted_utility,64,0.7235300305634476,-0.011457143793231817,-0.00035803574353849427
701,0,mild,analytic,uncertainty_penalized,1,0.5716473316598101,0.0,0.0
701,0,mild,analytic,uncertainty_penalized,2,0.680545469472232,0.10889813781242197,0.10889813781242197
701,0,mild,analytic,uncertainty_penalized,4,0.7393386763081201,0.05879320683588807,0.029396603417944034
701,0,mild,analytic,uncertainty_penalized,8,0.7579300374960399,0.01859136118791982,0.004647840296979955
701,0,mild,analytic,uncertainty_penalized,16,0.7488987671216183,-0.00903127037442164,-0.001128908796802705
701,0,mild,analytic,uncertainty_penalized,32,0.7301949595141903,-0.018703807607427958,-0.0011689879754642474
701,0,mild,analytic,uncertainty_penalized,64,0.7208640523072877,-0.009330907206902661,-0.00029159085021570816
701,0,mild,analytic,safety_penalized,1,0.5716473316598099,0.0,0.0
701,0,mild,analytic,safety_penalized,2,0.6804524880760152,0.10880515641620536,0.10880515641620536
701,0,mild,analytic,safety_penalized,4,0.7392920086340463,0.0588395205580311,0.02941976027901555
701,0,mild,analytic,safety_penalized,8,0.7586991501352387,0.019407141501192382,0.0048517853752980955
701,0,mild,analytic,safety_penalized,16,0.7510709208947122,-0.0076282292405265295,-0.0009535286550658162
701,0,mild,analytic,safety_penalized,32,0.7323681035470226,-0.018702817347689527,-0.0011689260842305954
701,0,mild,analytic,safety_penalized,64,0.7211434648522519,-0.01122463869477075,-0.00035076995921158594
701,0,mild,analytic,random_score,1,0.5716473316598102,0.0,0.0
701,0,mild,analytic,random_score,2,0.5692490562012084,-0.0023982754586018284,-0.0023982754586018284
701,0,mild,analytic,random_score,4,0.5664901725439386,-0.0027588836572697284,-0.0013794418286348642
701,0,mild,analytic,random_score,8,0.5594593707746583,-0.0070308017692802816,-0.0017577004423200704
701,0,mild,analytic,random_score,16,0.5396780487365995,-0.019781322038058824,-0.002472665254757353
701,0,mild,analytic,random_score,32,0.5351969381313587,-0.004481110605240812,-0.00028006941282755077
701,0,mild,analytic,random_score,64,0.576638914747299,0.04144197661594029,0.001295061769248134
701,0,mild,analytic,oracle_real_utility,1,0.5716473316598102,0.0,0.0
701,0,mild,analytic,oracle_real_utility,2,0.6862345207219295,0.11458718906211929,0.11458718906211929
701,0,mild,analytic,oracle_real_utility,4,0.7625994099746864,0.07636488925275697,0.03818244462637849
701,0,mild,analytic,oracle_real_utility,8,0.8209720237438762,0.058372613769189785,0.014593153442297446
701,0,mild,analytic,oracle_real_utility,16,0.8790842046946474,0.0581121809507712,0.0072640226188464
701,0,mild,analytic,oracle_real_utility,32,0.93654870254758,0.05746449785293262,0.0035915311158082885
701,0,mild,analytic,oracle_real_utility,64,0.977582213419246,0.04103351087166596,0.0012822972147395612
701,0,mild,analytic,anti_real_utility,1,0.5716473316598097,0.0,0.0
701,0,mild,analytic,anti_real_utility,2,0.45706014259769057,-0.11458718906211918,-0.11458718906211918
701,0,mild,analytic,anti_real_utility,4,0.3443727100501312,-0.11268743254755936,-0.05634371627377968
701,0,mild,analytic,anti_real_utility,8,0.24173290810973577,-0.10263980194039543,-0.025659950485098858
701,0,mild,analytic,anti_real_utility,16,0.15903218138959188,-0.08270072672014389,-0.010337590840017986
701,0,mild,analytic,anti_real_utility,32,0.09921642838771014,-0.059815753001881744,-0.003738484562617609
701,0,mild,analytic,anti_real_utility,64,0.05841269072015027,-0.04080373766755987,-0.0012751168021112459
701,1,mild,analytic,predicted_utility,1,0.6217490921904165,0.0,0.0
701,1,mild,analytic,predicted_utility,2,0.7478633643262637,0.12611427213584714,0.12611427213584714
701,1,mild,analytic,predicted_utility,4,0.8180555542699337,0.07019218994367005,0.03509609497183502
701,1,mild,analytic,predicted_utility,8,0.8520426306224038,0.033987076352470114,0.008496769088117528
701,1,mild,analytic,predicted_utility,16,0.8632768289230087,0.011234198300604903,0.0014042747875756129
701,1,mild,analytic,predicted_utility,32,0.8614487421161987,-0.0018280868068100142,-0.00011425542542562589
701,1,mild,analytic,predicted_utility,64,0.8577382135101463,-0.0037105286060523657,-0.00011595401893913643
701,1,mild,analytic,uncertainty_penalized,1,0.6217490921904165,0.0,0.0
701,1,mild,analytic,uncertainty_penalized,2,0.7478246891574106,0.1260755969669941,0.1260755969669941
701,1,mild,analytic,uncertainty_penalized,4,0.8178375023994977,0.07001281324208708,0.03500640662104354
701,1,mild,analytic,uncertainty_penalized,8,0.851125376508783,0.03328787410928524,0.00832196852732131
701,1,mild,analytic,uncertainty_penalized,16,0.8604716052522552,0.00934622874347224,0.00116827859293403
