scorer,real_utility_N1,real_utility_N64,success_N64,mean_kappa,area_real_utility,gain_N64_minus_N1
oracle_real_utility,-4.285536062756339,3.261139846461668,0.9367264778945996,1.0,2.3344252605503426,7.546675909218007
predicted_utility,-4.285536062756339,0.036189049763804174,0.10453512853523927,0.899084835900184,0.10359522003877324,4.321725112520143
uncertainty_penalized,-4.285536062756339,0.030268495683866803,0.10239900092324322,0.9019814738551714,0.10080567255709531,4.315804558440206
safety_penalized,-4.285536062756339,0.028979785772966157,0.10208108688265392,0.8993441671959143,0.09485326140889429,4.314515848529306
predicted_success,-4.285536062756339,0.026174639341639674,0.10167622991099624,0.8961561467691643,0.08738785137027401,4.311710702097979
predicted_goal_distance,-4.285536062756339,0.0073046954770274244,0.10167622991099624,0.8961561467691643,0.08027964134876672,4.292840758233367
random_score,-4.28553606275634,-3.7157171826362942,0.07938368245139818,0.4891881204876133,-3.8614524354165516,0.5698188801200459
