model,n_samples,state_delta_mae,utility_mae,utility_corr,env,split,mean_utility_variance
horizon_wam,288,0.040664159545783604,1.2631792966853856,0.8494044700911243,block_push,train,
horizon_wam,144,0.09995783903368226,2.9103220241152754,0.7152102067964673,block_push,validation,
horizon_wam,144,0.6346701514879088,5.20950658575339,0.09313307763726726,block_push,ood_severe,
mlp_dynamics_wam,288,0.1400780408174308,0.9548001033505806,0.908057270243956,block_push,train,
mlp_dynamics_wam,144,0.2781542788948355,2.021603818982543,0.6514324816261313,block_push,validation,
mlp_dynamics_wam,144,0.45371777533162294,3.3600732889180946,-0.3239606002032106,block_push,ood_severe,
ensemble_wam,288,0.041091486695312734,1.2626597267880066,,block_push,train,0.3942760878077492
ensemble_wam,144,0.0998355624742812,2.9972148333176607,,block_push,validation,0.9770815103457962
ensemble_wam,144,0.6269001997738817,5.403809390490786,,block_push,ood_severe,1.2450812969390146
horizon_wam,288,0.04092115344155481,0.3710999090531697,0.4264149979902051,drawer_pull,train,
horizon_wam,144,0.05683534489335424,0.48094565943949685,-0.0840497305943281,drawer_pull,validation,
horizon_wam,144,0.1630322291301229,1.4450210110795416,-0.09216260180904229,drawer_pull,ood_severe,
mlp_dynamics_wam,288,0.04392169971588573,0.3431975989103049,0.5625950995304894,drawer_pull,train,
mlp_dynamics_wam,144,0.06287139463771342,0.44044812124580185,-0.06706666698634361,drawer_pull,validation,
mlp_dynamics_wam,144,0.1641079616660351,1.4619250823632468,-0.19217988992947482,drawer_pull,ood_severe,
ensemble_wam,288,0.04145570369712871,0.4100686096568357,,drawer_pull,train,0.07442797428954842
ensemble_wam,144,0.05689504035947958,0.5069881756113729,,drawer_pull,validation,0.11485691253418956
ensemble_wam,144,0.16052822381319076,1.4826216302328317,,drawer_pull,ood_severe,0.07675838978528704
horizon_wam,288,0.0910589040823119,7.14332946306673,0.9525658079530677,slippery_grasp,train,
horizon_wam,144,0.1079649650788553,7.362845219690984,0.9353696512213955,slippery_grasp,validation,
horizon_wam,144,0.44460382654583697,40.086403854028326,0.9054202849418901,slippery_grasp,ood_severe,
mlp_dynamics_wam,288,0.08205254266102728,5.7839092368702625,0.9711416898189607,slippery_grasp,train,
mlp_dynamics_wam,144,0.09843697785552391,6.3938432837842045,0.9552908957300607,slippery_grasp,validation,
mlp_dynamics_wam,144,0.4495002511718982,40.78716135501783,0.9173473278238286,slippery_grasp,ood_severe,
ensemble_wam,288,0.09116002769881265,7.195657294951904,,slippery_grasp,train,17.227402808453704
ensemble_wam,144,0.10567618650787075,7.360783293143497,,slippery_grasp,validation,14.962826082358138
ensemble_wam,144,0.44323318758565305,39.78485050688895,,slippery_grasp,ood_severe,16.08225246180985
horizon_wam,288,0.0473998495715492,0.3981293825107719,0.5369292006151722,nonstationary_shift,train,
horizon_wam,144,0.057200854163487413,0.3578205190374803,0.48508465135520634,nonstationary_shift,validation,
horizon_wam,144,0.0656098423862569,0.5247008889946096,0.2657289758928348,nonstationary_shift,ood_severe,
mlp_dynamics_wam,288,0.04882037027433945,0.38610021583126014,0.594215830532155,nonstationary_shift,train,
mlp_dynamics_wam,144,0.061860878333000455,0.3489387478717507,0.520796725184748,nonstationary_shift,validation,
mlp_dynamics_wam,144,0.07058165251318292,0.4931711197776624,0.37797300346464996,nonstationary_shift,ood_severe,
ensemble_wam,288,0.04822426615141742,0.39750227255008613,,nonstationary_shift,train,0.07211798733787113
ensemble_wam,144,0.05891681487612383,0.3567136876214818,,nonstationary_shift,validation,0.093236960312091
ensemble_wam,144,0.06424232026667528,0.49353436052531585,,nonstationary_shift,ood_severe,0.09315466740527022
horizon_wam,288,0.01864373831451913,0.26299039683217873,0.7638982539201477,deformable_toy,train,
horizon_wam,144,0.023695988343492545,0.30210286898553856,0.35705383071023145,deformable_toy,validation,
horizon_wam,144,0.09631862687938933,0.5655444033877287,0.6120407418509208,deformable_toy,ood_severe,
mlp_dynamics_wam,288,0.034054977465965204,0.25274796736352495,0.7928058711585045,deformable_toy,train,
mlp_dynamics_wam,144,0.04273344962745948,0.3209418477911906,0.34161074315001383,deformable_toy,validation,
mlp_dynamics_wam,144,0.11145270058951073,0.5798010275906031,0.629806957033747,deformable_toy,ood_severe,
ensemble_wam,288,0.019208266911828212,0.26389643005497426,,deformable_toy,train,0.052425095176804035
ensemble_wam,144,0.024312397034213975,0.31824647533528183,,deformable_toy,validation,0.057068944066262145
ensemble_wam,144,0.09683690262458351,0.5802089832126748,,deformable_toy,ood_severe,0.05038371843407552
