seed,seed_id,policy,mean_budget,success,mean_allocated_samples,allocation_std,pilot_k,num_states
31,0,uniform,1,0.056597222222222215,1.0,0.0,64,144
31,0,coverage_p_only,1,0.056597222222222215,1.0,0.0,64,144
31,0,auc_kappa,1,0.056597222222222215,1.0,0.0,64,144
31,0,moment_law,1,0.056597222222222215,1.0,0.0,64,144
31,0,uncertainty,1,0.056597222222222215,1.0,0.0,64,144
31,0,oracle,1,0.056597222222222215,1.0,0.0,64,144
31,0,uniform,2,0.09860514322916665,2.0,0.0,64,144
31,0,coverage_p_only,2,0.08331450146783884,2.0,1.699673171197595,64,144
31,0,auc_kappa,2,0.09248458353802352,2.0,1.034139470499238,64,144
31,0,moment_law,2,0.0921276619715947,2.0,1.0671873729054748,64,144
31,0,uncertainty,2,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,2,0.10112033487558363,2.0,0.7817359599705717,64,144
31,0,uniform,4,0.15130361371835066,4.0,0.0,64,144
31,0,coverage_p_only,4,0.12212354508702673,4.0,2.8136571693556887,64,144
31,0,auc_kappa,4,0.14142841370859005,4.0,1.9578900207451218,64,144
31,0,moment_law,4,0.1408197779393333,4.0,2.084999333866134,64,144
31,0,uncertainty,4,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,4,0.1545133049333858,4.0,1.1426091000668408,64,144
31,0,uniform,8,0.1856163164186691,8.0,0.0,64,144
31,0,coverage_p_only,8,0.14001218904647997,8.0,4.769696007084728,64,144
31,0,auc_kappa,8,0.17654419077021644,7.875,4.099246204419106,64,144
31,0,moment_law,8,0.17221127147362114,8.0,9.368979548370131,64,144
31,0,uncertainty,8,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,8,0.19322916391599046,8.0,2.6034165586355513,64,144
31,0,uniform,16,0.1618761846406019,16.0,0.0,64,144
31,0,coverage_p_only,16,0.1369370391118053,16.0,5.994210169451481,64,144
31,0,auc_kappa,16,0.17654419077021644,7.875,4.099246204419106,64,144
31,0,moment_law,16,0.17598993161480175,11.333333333333334,12.33445940805226,64,144
31,0,uncertainty,16,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,16,0.19577221988169258,10.145833333333334,6.807847544888505,64,144
31,0,uniform,32,0.09930752852641588,32.0,0.0,64,144
31,0,coverage_p_only,32,0.09256084097942154,32.0,8.649823376488357,64,144
31,0,auc_kappa,32,0.17654419077021644,7.875,4.099246204419106,64,144
31,0,moment_law,32,0.17598993161480175,11.333333333333334,12.33445940805226,64,144
31,0,uncertainty,32,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,32,0.19577221988169258,10.145833333333334,6.807847544888505,64,144
31,0,uniform,64,0.05952282030523762,64.0,0.0,64,144
31,0,coverage_p_only,64,0.05564694794871951,61.375,12.58905774869589,64,144
31,0,auc_kappa,64,0.17654419077021644,7.875,4.099246204419106,64,144
31,0,moment_law,64,0.17598993161480175,11.333333333333334,12.33445940805226,64,144
31,0,uncertainty,64,0.058404390152295406,1.0555555555555556,0.3491612524993482,64,144
31,0,oracle,64,0.19577221988169258,10.145833333333334,6.807847544888505,64,144
